name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime
Movie1,PG,Action,2014,6.6,1262169,Director D,Writer C,Actor D,USA,64789190,2236274478,Marvel,160
Movie2,PG-13,Crime,2016,6.8,1662945,Director B,Writer B,Actor C,USA,212769095,2162938684,Disney,116
Movie3,R,Sci-Fi,2003,8.4,1303823,Director D,Writer C,Actor C,USA,26538667,968000370,Marvel,164
Movie4,G,Comedy,2009,5.6,1602181,Director A,Writer C,Actor A,USA,148433998,323184776,Warner Bros,119
Movie5,PG,Animation,1987,9.5,1799177,Director C,Writer B,Actor B,USA,296010438,933559137,Paramount,154
Movie6,G,Action,1998,5.2,1547921,Director C,Writer A,Actor C,USA,220058103,1737095652,Universal,93
Movie7,G,Crime,1987,8.9,1820320,Director D,Writer A,Actor D,USA,30543890,443438498,Universal,161
Movie8,R,Romance,2021,5.6,1910864,Director D,Writer A,Actor D,USA,69704135,813589382,Universal,172
Movie9,PG-13,Comedy,2008,6.6,785938,Director C,Writer C,Actor C,USA,191485427,1280100766,Universal,100
Movie10,PG-13,Animation,2017,6.6,1536403,Director A,Writer C,Actor D,USA,104009373,1673139480,Warner Bros,93
Movie11,PG,Action,2009,8,1548487,Director D,Writer C,Actor A,USA,21073455,515630345,Warner Bros,127
Movie12,PG-13,Sci-Fi,2013,6.6,583045,Director A,Writer B,Actor B,USA,191912364,2395969986,Paramount,85
Movie13,R,Sci-Fi,2013,6.1,547628,Director B,Writer B,Actor A,USA,128939966,1140334344,Warner Bros,125
Movie14,R,Sci-Fi,2006,7.9,1334413,Director B,Writer C,Actor A,USA,98834180,696326258,Warner Bros,108
Movie15,R,Animation,2013,5.4,1007594,Director A,Writer C,Actor C,USA,39580695,384347300,Paramount,87
Movie16,PG-13,Animation,1993,6.2,1451949,Director C,Writer C,Actor D,USA,203521331,1335441406,Warner Bros,147
Movie17,PG-13,Romance,2001,8.7,300739,Director B,Writer A,Actor A,USA,204369440,1197321854,Marvel,137
Movie18,PG,Comedy,1998,5.1,1390981,Director B,Writer A,Actor C,USA,243047694,2621451506,Disney,108
Movie19,G,Crime,1994,6.4,1766077,Director B,Writer C,Actor C,USA,66111433,1644801133,Disney,100
Movie20,R,Sci-Fi,1997,8.1,948607,Director C,Writer C,Actor C,USA,198507870,330671397,Warner Bros,119
Movie21,PG-13,Crime,1996,7.2,1320161,Director A,Writer C,Actor C,USA,71816630,1664894453,Warner Bros,177
Movie22,R,Sci-Fi,2022,8.6,1083132,Director C,Writer A,Actor B,USA,143819297,530316708,Paramount,85
Movie23,PG,Romance,2015,5.5,1713535,Director A,Writer A,Actor D,USA,60503562,2771411828,Disney,103
Movie24,G,Action,2002,8.8,249733,Director D,Writer A,Actor C,USA,216646537,773071704,Paramount,170
Movie25,PG-13,Comedy,2000,6.5,1838032,Director C,Writer C,Actor C,USA,108561312,2230298342,Marvel,156
Movie26,G,Romance,1999,7,1710108,Director B,Writer A,Actor C,USA,219805129,2729588013,Warner Bros,105
Movie27,G,Drama,2020,8.7,1169429,Director B,Writer A,Actor A,USA,30314500,2946060820,Universal,159
Movie28,PG-13,Comedy,2023,9.1,1133591,Director A,Writer A,Actor B,USA,114325510,1088750860,Marvel,112
Movie29,PG,Romance,1996,7.5,1184703,Director A,Writer C,Actor B,USA,159381061,56150562,Universal,97
Movie30,R,Drama,2014,9.1,989907,Director D,Writer A,Actor D,USA,40992914,797559481,Universal,161
Movie31,PG,Romance,2001,7.8,1199965,Director D,Writer B,Actor D,USA,11651569,2700150377,Marvel,114
Movie32,PG-13,Romance,1991,8.9,908394,Director A,Writer B,Actor A,USA,190147975,672260282,Disney,99
Movie33,PG,Action,2017,7.2,276343,Director A,Writer C,Actor C,USA,142038321,2386798295,Marvel,85
Movie34,G,Action,1984,8.2,1262434,Director A,Writer A,Actor A,USA,141857190,2509014404,Disney,170
Movie35,PG-13,Drama,2010,5.4,1491051,Director D,Writer C,Actor D,USA,106995564,1739494875,Paramount,104
Movie36,R,Action,1991,6.4,1377501,Director D,Writer A,Actor B,USA,63413266,545821476,Paramount,111
Movie37,R,Animation,2022,7.8,1994309,Director C,Writer A,Actor B,USA,79132161,114009520,Universal,92
Movie38,PG-13,Crime,2016,5.4,484333,Director D,Writer A,Actor A,USA,140701874,1686038425,Disney,108
Movie39,R,Animation,2020,7.9,1408382,Director A,Writer C,Actor B,USA,194106144,1276721719,Paramount,166
Movie40,R,Crime,2005,8.8,1830225,Director A,Writer C,Actor A,USA,156311125,2347583299,Universal,99
Movie41,PG-13,Romance,2020,9.4,1662349,Director B,Writer C,Actor B,USA,124353544,1484139616,Marvel,158
Movie42,R,Comedy,1990,9,1470396,Director C,Writer A,Actor C,USA,168198202,1310559638,Warner Bros,157
Movie43,R,Drama,1982,5.8,52012,Director D,Writer B,Actor D,USA,246740328,271611696,Marvel,119
Movie44,R,Sci-Fi,1997,6,1403855,Director C,Writer B,Actor A,USA,206803042,2463163216,Paramount,101
Movie45,PG-13,Comedy,2008,8.7,584392,Director C,Writer B,Actor A,USA,216028575,1200070702,Paramount,89
Movie46,G,Sci-Fi,1991,9.3,432499,Director D,Writer A,Actor A,USA,223412666,1221339719,Universal,106
Movie47,R,Animation,1991,7.5,1752295,Director A,Writer C,Actor B,USA,12912805,1490818535,Disney,179
Movie48,PG,Animation,1995,8.4,504935,Director C,Writer B,Actor A,USA,48106229,2809355404,Disney,98
Movie49,PG-13,Romance,2013,5.1,1841858,Director A,Writer B,Actor A,USA,280363119,1113031137,Marvel,96
Movie50,G,Drama,1987,8.9,328515,Director B,Writer A,Actor D,USA,49366471,2192774015,Marvel,112
Movie51,PG-13,Crime,2007,5.6,689761,Director B,Writer B,Actor A,USA,189603233,1651045345,Warner Bros,140
Movie52,G,Comedy,2010,8.7,768234,Director A,Writer C,Actor C,USA,199867741,891587126,Paramount,138
Movie53,PG-13,Sci-Fi,2000,6.6,1259551,Director C,Writer C,Actor D,USA,166399524,1322587387,Paramount,173
Movie54,G,Romance,2022,5.1,1533982,Director D,Writer A,Actor B,USA,26825950,167619839,Marvel,132
Movie55,PG-13,Comedy,1989,9.5,452200,Director C,Writer C,Actor B,USA,21912076,473292128,Disney,102
Movie56,PG-13,Drama,2019,9.5,406529,Director C,Writer C,Actor A,USA,251624313,1400830509,Universal,154
Movie57,G,Drama,2005,8.3,1227903,Director A,Writer C,Actor D,USA,24213486,2498283246,Disney,149
Movie58,PG-13,Romance,2009,8.2,1278840,Director C,Writer C,Actor B,USA,223934231,131606467,Paramount,102
Movie59,PG-13,Action,1995,7.9,674839,Director B,Writer B,Actor D,USA,241891322,2145395635,Warner Bros,146
Movie60,PG-13,Animation,2003,9.1,222128,Director A,Writer C,Actor A,USA,149650714,318189601,Marvel,148
Movie61,G,Crime,1987,9.3,491713,Director A,Writer A,Actor D,USA,226758448,1996142053,Universal,166
Movie62,G,Sci-Fi,1996,7.5,1959686,Director A,Writer C,Actor B,USA,96335052,689792123,Paramount,113
Movie63,G,Comedy,2004,5.7,1753920,Director A,Writer C,Actor D,USA,161446497,2358828440,Paramount,175
Movie64,R,Crime,2005,9.4,414065,Director C,Writer B,Actor B,USA,159235313,1214636005,Warner Bros,94
Movie65,R,Drama,2016,5.5,1285253,Director D,Writer B,Actor A,USA,197930720,2854534358,Disney,124
Movie66,G,Crime,2023,5.2,673569,Director B,Writer C,Actor C,USA,252115471,719202718,Marvel,176
Movie67,PG-13,Action,1990,5.9,1870653,Director C,Writer A,Actor A,USA,95866117,1073594546,Universal,121
Movie68,PG-13,Animation,2002,5.2,1650935,Director B,Writer A,Actor C,USA,112220770,1539915047,Universal,157
Movie69,PG-13,Sci-Fi,1997,7.3,751515,Director C,Writer A,Actor C,USA,235782333,2057406421,Warner Bros,142
Movie70,R,Comedy,1998,8.9,1119144,Director C,Writer A,Actor C,USA,161744243,2768076907,Marvel,160
Movie71,R,Animation,1989,8.2,587915,Director D,Writer C,Actor D,USA,77256216,1518871812,Warner Bros,93
Movie72,R,Action,2012,8.5,1087250,Director B,Writer C,Actor A,USA,216332627,1771222913,Universal,150
Movie73,R,Action,1983,8.5,889928,Director A,Writer A,Actor C,USA,172040192,504636005,Universal,96
Movie74,G,Crime,2013,6,244605,Director B,Writer C,Actor A,USA,114246355,2879396995,Universal,117
Movie75,R,Romance,2019,9.3,925066,Director B,Writer A,Actor D,USA,217024635,2064554254,Disney,143
Movie76,G,Animation,2014,7.4,447926,Director A,Writer B,Actor C,USA,246321142,1070582446,Disney,132
Movie77,PG-13,Romance,2022,5.1,439498,Director D,Writer B,Actor A,USA,220698565,1331439368,Paramount,163
Movie78,R,Crime,2016,9.1,729594,Director C,Writer A,Actor A,USA,260156307,536280099,Marvel,170
Movie79,R,Drama,2019,8,1044674,Director B,Writer B,Actor D,USA,62661018,435031454,Disney,132
Movie80,PG-13,Comedy,2019,7.5,1180662,Director A,Writer B,Actor A,USA,245801734,389297402,Paramount,131
Movie81,PG,Sci-Fi,1998,6,383451,Director B,Writer A,Actor A,USA,247235254,2317687625,Disney,99
Movie82,PG,Sci-Fi,2013,7.3,1122988,Director C,Writer B,Actor C,USA,238782070,1868682767,Paramount,118
Movie83,PG,Comedy,2018,8.4,1780476,Director D,Writer A,Actor A,USA,43689669,624833768,Warner Bros,127
Movie84,R,Animation,1992,8.4,1477854,Director A,Writer A,Actor D,USA,27777475,2711846596,Disney,143
